Método,Soluciones evaluadas,Soluciones no dominadas,Mejor objetivo 0,Mejor objetivo 1,Mejor objetivo 2
PCN local,4,4,7.449069231748581,24.199570029973984,3.541891396045685
PCN MORL-Baselines,6,1,69.90157318115234,41.73479080200195,67.0146484375
