checkpoint,weight,weight_name,eval_episodes,mean_scalarized_return,std_scalarized_return,mean_episode_length,mean_obj_0,mean_obj_1,std_obj_0,std_obj_1
w_0p10_0p90.pt,"[0.10000000149011612, 0.8999999761581421]",w_0p10_0p90,3,-36.94932481825958,0.09077083809460264,1000.0,2.71936503375764,-41.356958124126926,0.5744823417254534,0.16419543554270777
w_0p50_0p50.pt,"[0.5, 0.5]",w_0p50_0p50,3,-31.91091532674181,0.5590866652988257,1000.0,0.7817128226063991,-64.60354347609002,1.137440986968981,0.0711965240220651
w_0p90_0p10.pt,"[0.8999999761581421, 0.10000000149011612]",w_0p90_0p10,3,-2.00709703968028,0.20753913724383288,1000.0,3.4380984952288904,-51.01385527399058,0.24047455371417972,0.08970488886278496
