iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,40,12000,300.0,4,-13.269720077514648,22.819791793823242,-175.3072052001953,-163.77325439453125,475.85143751756186,-29.36031436920166,-178.44683456420898,
1,train,46,13800,300.0,5,-12.574272155761719,22.819791793823242,-175.4830780029297,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.795749124526978
2,train,52,15600,300.0,5,-13.476740837097168,22.819791793823242,-175.67213439941406,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.788895387649536
3,train,58,17400,300.0,5,-13.932150840759277,22.819791793823242,-175.81044006347656,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.785801502227783
4,train,64,19200,300.0,5,-13.265687942504883,22.819791793823242,-175.9315185546875,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.78279656791687
5,train,70,21000,300.0,5,-13.297544479370117,22.819791793823242,-176.24166870117188,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.781038372039795
6,train,76,22800,300.0,5,-13.457262992858887,22.819791793823242,-176.00308227539062,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.778815822601318
7,train,82,24600,300.0,5,-14.324141502380371,22.819791793823242,-176.0067901611328,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.775878133773804
8,train,88,26400,300.0,5,-13.935077667236328,22.819791793823242,-176.01087951660156,-163.77325439453125,480.3128458409956,-29.36031436920166,-178.44683456420898,4.7744178981781005
9,train,94,28200,300.0,7,-13.25934886932373,22.819791793823242,-175.89549255371094,-163.77325439453125,492.11752522216193,-29.36031436920166,-178.44683456420898,4.772186874389648
10,train,100,30000,300.0,8,-12.887181282043457,22.819791793823242,-175.63119506835938,-163.77325439453125,531.1764627878765,-29.36031436920166,-178.44683456420898,4.770274543762207
11,train,106,31800,300.0,8,-13.010665893554688,22.819791793823242,-175.9242706298828,-163.77325439453125,531.1764627878765,-29.36031436920166,-178.44683456420898,4.768380023956299
12,train,112,33600,300.0,9,-13.063727378845215,22.819791793823242,-175.78562927246094,-163.77325439453125,559.2058216225305,-29.36031436920166,-178.44683456420898,4.767471000671387
13,train,118,35400,300.0,8,-12.640204429626465,27.574384689331055,-175.78533935546875,-163.77325439453125,484.2357063299049,-29.598044013977052,-176.7919662475586,4.766711498260498
14,train,124,37200,300.0,8,-12.355268478393555,27.574384689331055,-175.66796875,-163.75570678710938,394.0988704812553,-22.633821201324462,-176.7928436279297,4.763699550628662
15,train,130,39000,300.0,9,-12.381793022155762,27.574384689331055,-175.5474395751953,-163.75570678710938,419.7766724103785,-22.633821201324462,-176.7928436279297,4.7622440223693845
16,train,136,40800,300.0,9,-11.897772789001465,27.574384689331055,-175.4232635498047,-163.75570678710938,419.7766724103785,-22.633821201324462,-176.7928436279297,4.760711347579956
17,train,142,42600,300.0,9,-12.133951187133789,27.574384689331055,-175.42955017089844,-162.68028259277344,386.1901251759715,-19.65894470214844,-176.84661483764648,4.758360555648804
18,train,148,44400,300.0,8,-12.011728286743164,27.574384689331055,-175.28948974609375,-160.46090698242188,300.2504795022798,-12.336471033096313,-176.95758361816405,4.758301351547241
19,train,154,46200,300.0,8,-11.812915802001953,27.574384689331055,-175.32257080078125,-160.46090698242188,300.2504795022798,-12.336471033096313,-176.95758361816405,4.756541339874268
20,train,160,48000,300.0,9,-11.593957901000977,27.574384689331055,-175.25852966308594,-160.46090698242188,301.79031882359067,-12.336471033096313,-176.95758361816405,4.754661935806275
21,train,166,49800,300.0,9,-11.940279960632324,27.574384689331055,-175.1573028564453,-160.46090698242188,301.79031882359067,-12.336471033096313,-176.95758361816405,4.75401690864563
22,train,172,51600,300.0,9,-11.911900520324707,27.574384689331055,-175.19500732421875,-160.46090698242188,301.79031882359067,-12.336471033096313,-176.95758361816405,4.753878101348877
23,train,178,53400,300.0,3,-11.229865074157715,29.052492141723633,-175.1966552734375,-160.46090698242188,20.158076766582596,-12.410376405715942,-164.8928535461426,4.752163244247437
24,train,184,55200,300.0,3,-11.391876220703125,29.052492141723633,-175.15359497070312,-160.46090698242188,20.158076766582596,-12.410376405715942,-164.8928535461426,4.750599365234375
25,train,190,57000,300.0,3,-11.581687927246094,29.052492141723633,-175.0111846923828,-160.46090698242188,20.158076766582596,-12.410376405715942,-164.8928535461426,4.7500904846191405
26,train,196,58800,300.0,3,-11.416025161743164,29.052492141723633,-174.95030212402344,-160.46090698242188,20.158076766582596,-12.410376405715942,-164.8928535461426,4.747788120269775
27,train,202,60600,300.0,3,-11.502915382385254,29.052492141723633,-174.75241088867188,-160.11744689941406,19.79534501524904,-10.793166160583496,-164.91002655029297,4.750700382232666
28,train,208,62400,300.0,2,-11.754297256469727,29.052492141723633,-174.61927795410156,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.745665506362915
29,train,214,64200,300.0,2,-11.618907928466797,29.052492141723633,-174.57862854003906,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.745268730163574
30,train,220,66000,300.0,2,-11.614692687988281,29.052492141723633,-174.67169189453125,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.74583692741394
31,train,226,67800,300.0,2,-11.503425598144531,29.052492141723633,-174.6074676513672,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.744292892456055
32,train,232,69600,300.0,2,-11.64632511138916,29.052492141723633,-174.55010986328125,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.742226812362671
33,train,238,71400,300.0,2,-11.613672256469727,29.052492141723633,-174.4874725341797,-157.69564819335938,18.210339350183997,2.3504222989082333,-165.0311164855957,4.743474563598633
34,train,244,73200,300.0,3,-11.302189826965332,35.89558792114258,-174.54945373535156,-157.69564819335938,252.60137253387603,2.008267509937286,-173.4158477783203,4.742115066528321
35,train,250,75000,300.0,4,-11.279400825500488,35.89558792114258,-174.5102996826172,-157.69564819335938,252.90670746587222,2.008267509937286,-173.4158477783203,4.738524843215942
