return_obj_0,return_obj_1
-25.897476,-172.02678
-15.316104,-174.44687
1.3143716,-177.50584
2.811539,-175.4664
12.843287,-177.06026
5.0595417,-183.33011
-45.897717,-178.69424
-2.93685,-182.49796
-28.019527,-177.31
-19.704979,-174.60748
5.82242,-166.6174
-9.44483,-173.12048
15.485142,-173.5344
-30.482533,-172.12566
-11.5996895,-176.0829
-5.158181,-170.37215
-0.434985,-187.4772
-19.501863,-178.67572
-0.17506927,-166.67795
-13.880367,-169.18597
-24.808453,-172.07668
-24.992971,-175.16542
-26.355146,-173.31671
-1.7332257,-174.94676
-26.875547,-163.77325
5.644429,-192.02948
-23.434143,-174.90114
22.819792,-177.7481
-11.0933695,-173.057
-7.1146345,-177.91937
-28.5001,-164.23502
-29.544144,-183.6649
-37.420452,-174.80034
-9.305475,-179.76979
-58.081657,-169.158
2.6226866,-177.03613
-31.12259,-169.8753
-21.483252,-174.28134
-8.36385,-179.543
-6.532798,-178.17412
-4.1691546,-184.8158
-24.463665,-164.76764
-23.994844,-181.2273
-7.8393793,-178.37613
5.0248013,-176.38284
7.814565,-174.36429
-31.211914,-173.86516
-37.468475,-179.12527
-20.874973,-180.46591
-17.76736,-181.38336
-18.99941,-174.70676
3.947968,-173.18309
-25.190228,-166.13199
-30.36396,-176.81151
-19.724764,-174.55576
7.8476067,-185.27538
-13.932213,-177.88884
-25.910648,-181.39096
-0.41445413,-181.29134
-19.31567,-172.13435
-0.52024674,-174.23846
-9.34924,-173.14238
-15.9098625,-182.33205
4.5702925,-179.4735
-23.459972,-179.91127
2.990179,-174.40332
-31.23575,-183.02002
-23.929909,-180.31993
-11.396468,-184.03296
5.2078648,-175.61226
-6.4104776,-176.53894
-39.941673,-164.08624
-6.0652614,-177.10449
2.8926213,-170.42218
-11.007202,-175.15521
-31.392042,-176.0093
-22.683443,-172.53313
-17.81472,-178.90575
-39.588757,-181.1296
-23.72229,-166.98314
-38.57236,-179.40846
-9.445965,-177.36377
1.6781443,-175.64758
-6.27184,-177.07385
-15.54115,-177.31596
-19.555582,-176.00514
-0.12635648,-177.6974
-11.890455,-172.65881
-26.492016,-167.1656
-5.590686,-174.10294
-7.3683696,-171.97646
18.362135,-174.23132
20.337204,-176.89397
-19.34005,-180.84937
8.280729,-167.4333
8.9069805,-175.70248
-11.912745,-176.72604
-14.034777,-173.70905
-16.973236,-171.53056
-16.606424,-163.83995
2.1417594,-180.37001
-8.802609,-192.8919
-6.414051,-172.27997
-33.427525,-176.98409
-25.658686,-172.60667
-18.25146,-189.72052
-11.560089,-169.14066
-17.131353,-178.24788
-31.302515,-175.08112
-19.463907,-168.92676
1.301121,-184.61183
-5.8501043,-164.01155
-3.8666208,-177.4596
-9.958969,-170.53911
-15.910133,-173.96341
27.574385,-176.17203
-10.019825,-178.70952
-16.225502,-177.83752
-8.211838,-174.47917
5.7758384,-176.50395
-4.549811,-170.3876
-3.6279917,-170.2278
-20.242954,-163.7557
-9.652374,-184.80098
-20.310587,-189.0488
-33.568592,-171.17207
13.841015,-168.91632
-11.5220995,-166.26245
-15.801689,-171.8689
-10.2176285,-171.07292
-7.6975965,-171.91318
-19.8241,-164.08542
23.205853,-185.39062
10.79215,-176.85603
-8.988261,-165.78914
-5.9521475,-172.36145
-26.523659,-178.936
-28.625835,-176.76775
7.3646164,-175.062
-18.303753,-177.09819
-21.425653,-182.88809
-17.409739,-162.68028
-10.435954,-160.4609
-9.902604,-166.72229
-16.203394,-176.99155
-19.28378,-180.15628
1.9848235,-174.15977
-0.87398016,-173.35725
-25.557394,-173.81671
-7.1022725,-171.62527
-10.37812,-167.6669
4.5201187,-182.53868
-6.332011,-175.89243
3.3965874,-185.29141
-7.3339806,-170.06255
-9.604961,-183.07414
-23.095715,-174.2261
14.43794,-170.95477
-1.5234565,-170.71413
-8.724089,-172.65742
2.2357094,-171.7922
-20.615362,-170.83841
-34.923386,-166.24586
-24.42561,-171.11703
-22.650097,-177.39088
-26.674482,-177.36172
-18.276108,-173.53288
12.059652,-177.94078
-23.453142,-172.83534
3.187191,-177.57109
-10.45187,-177.5647
-29.82621,-177.98605
6.1640778,-181.1706
27.872953,-166.29327
