return_obj_0,return_obj_1
0.27722073,-185.88805
-4.9034657,-175.88611
-8.532346,-177.54063
29.052492,-164.68181
-19.831284,-171.61214
-14.00781,-172.66353
3.2816408,-171.37592
7.948494,-168.28745
-38.96298,-185.39024
-35.617115,-173.9291
-17.435083,-168.94066
-11.510768,-169.11325
-15.7511015,-167.9193
-32.156784,-167.98277
-5.570339,-174.25108
-21.991592,-175.65584
-37.884422,-173.92206
-17.293173,-176.49525
13.942362,-171.38
-6.0178175,-167.08551
2.2536535,-178.40659
7.979139,-170.8389
-15.025167,-163.70653
-15.454245,-174.13007
1.7732179,-168.33025
-27.716543,-172.81898
-20.729383,-170.6325
-8.895754,-160.11745
-10.141095,-170.22676
-23.623825,-178.69182
-44.73935,-176.87079
-28.890255,-174.75288
-17.532465,-162.5823
3.6219494,-157.69565
-17.366993,-184.76741
2.7791257,-171.3187
-9.476407,-161.92398
-2.9350178,-176.8752
-2.1047816,-173.69882
-12.448445,-170.43333
0.3875589,-178.64958
-37.896053,-166.83286
-23.610992,-181.57512
10.843955,-180.16913
-12.417191,-175.779
-6.093348,-184.94061
-9.824872,-169.62637
-2.5742526,-179.62662
-9.608345,-167.21103
-18.965345,-163.75934
-1.48503,-168.56734
-2.083948,-184.73016
-18.926386,-164.84842
-10.546697,-165.55803
-26.939707,-184.0799
-11.246178,-176.41252
-21.287062,-167.69603
-13.227222,-175.73941
-20.206436,-171.58723
5.6535,-170.36195
-2.5748632,-176.64326
-21.411438,-166.20938
-4.975153,-173.31332
-18.592052,-174.27888
-23.140516,-176.462
17.460333,-184.71082
13.579601,-180.8951
35.895588,-172.66727
-29.01063,-176.17052
-8.4647455,-171.13788
-28.982885,-175.32333
-10.915744,-172.13629
29.108677,-167.23279
-26.524403,-172.39993
-15.871486,-176.21938
-8.929951,-174.19646
