Método,Soluciones evaluadas,Soluciones no dominadas,Mejor objetivo 0,Mejor objetivo 1,HV normalizado
PCN local,6,1,-28.309268787968904,-44.8827894187416,0.051814532246504126
PCN MORL-Baselines,6,2,80.53919219970703,80.0726089477539,1.1006381592172456
