generation,evaluations,nondominated_count,mean_episode_length,mean_sum_return,best_sum_return,normalized_hv_mc,spacing,mean_obj_0,mean_obj_1,mean_obj_2,best_obj_0,best_obj_1,best_obj_2
0,10,1,25.5,60.42733169067651,135.48860673606396,1.1576250000000001,0.0,21.67882253229618,19.030738338269295,19.717770820111035,65.99250054359436,32.02133974432945,37.474766448140144
1,20,1,37.7,94.14886660976336,135.48860673606396,1.1576250000000001,0.0,37.0178275346756,27.073663806449623,30.057375268638133,65.99250054359436,32.02133974432945,37.474766448140144
2,30,2,49.7,119.76954886876047,226.2506356611848,0.21149808750000001,0.0,62.35142733454704,13.97570014744997,43.442421386763456,228.86986207962036,39.009295761585236,118.60958573967218
3,40,2,52.6,130.4858617659658,226.2506356611848,0.1786215375,0.0,69.38270316123962,14.33511004820466,46.768048556521535,228.86986207962036,39.009295761585236,118.60958573967218
