iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,40,12000,300.0,4,-10.789937973022461,18.174827575683594,-174.40097045898438,-164.99012756347656,231.3455215168069,-13.639099168777467,-175.550048828125,
1,train,46,13800,300.0,5,-10.029975891113281,30.771699905395508,-174.32821655273438,-164.99012756347656,331.6078639244131,-14.26894278526306,-178.19131088256836,4.795693727493286
2,train,52,15600,300.0,5,-10.803316116333008,30.771699905395508,-174.47317504882812,-164.99012756347656,331.6078639244131,-14.26894278526306,-178.19131088256836,4.790420761108399
3,train,58,17400,300.0,5,-10.32187271118164,30.771699905395508,-174.5763397216797,-164.99012756347656,331.6078639244131,-14.26894278526306,-178.19131088256836,4.78743501663208
4,train,64,19200,300.0,5,-11.167732238769531,30.771699905395508,-174.33360290527344,-164.99012756347656,331.6078639244131,-14.26894278526306,-178.19131088256836,4.785088401794433
5,train,70,21000,300.0,5,-10.546404838562012,30.771699905395508,-174.16468811035156,-164.99012756347656,357.64607841799966,-14.26894278526306,-178.19131088256836,4.782379503250122
6,train,76,22800,300.0,4,-10.32536792755127,30.771699905395508,-174.5615997314453,-164.17030334472656,138.5970966318975,4.633442950248718,-178.23230209350587,4.7795121803283696
7,train,82,24600,300.0,4,-10.077089309692383,30.771699905395508,-174.42510986328125,-164.17030334472656,138.5970966318975,4.633442950248718,-178.23230209350587,4.776520486831665
8,train,88,26400,300.0,4,-10.002259254455566,30.771699905395508,-174.5278778076172,-164.17030334472656,138.5970966318975,4.633442950248718,-178.23230209350587,4.775119081497192
9,train,94,28200,300.0,4,-9.790275573730469,30.771699905395508,-174.66757202148438,-164.17030334472656,198.4051176549812,4.633442950248718,-178.23230209350587,4.772651165008545
10,train,100,30000,300.0,4,-9.611798286437988,30.771699905395508,-174.6673583984375,-164.17030334472656,243.19910857233953,4.633442950248718,-178.23230209350587,4.771559831619263
11,train,106,31800,300.0,4,-9.149956703186035,30.771699905395508,-174.5969696044922,-161.1107940673828,213.69673611839116,7.537171459197998,-178.38527755737306,4.7688796463012695
12,train,112,33600,300.0,4,-10.321718215942383,30.771699905395508,-174.72824096679688,-161.1107940673828,213.69673611839116,7.537171459197998,-178.38527755737306,4.767256643295288
13,train,118,35400,300.0,4,-10.08271312713623,30.771699905395508,-174.80873107910156,-161.1107940673828,213.69673611839116,7.537171459197998,-178.38527755737306,4.76647402381897
14,train,124,37200,300.0,4,-9.865123748779297,30.771699905395508,-174.8434600830078,-161.1107940673828,213.69673611839116,7.537171459197998,-178.38527755737306,4.765144371032715
15,train,130,39000,300.0,5,-9.5117826461792,30.771699905395508,-174.7301025390625,-161.1107940673828,233.14720532738883,7.537171459197998,-178.38527755737306,4.761268095016479
16,train,136,40800,300.0,5,-9.424538612365723,30.771699905395508,-174.62890625,-161.1107940673828,233.14720532738883,7.537171459197998,-178.38527755737306,4.762297956466675
17,train,142,42600,300.0,5,-9.244378089904785,30.771699905395508,-174.6362762451172,-161.1107940673828,233.14720532738883,7.537171459197998,-178.38527755737306,4.760007879257202
18,train,148,44400,300.0,5,-8.937478065490723,30.771699905395508,-174.7119598388672,-161.1107940673828,233.14720532738883,7.537171459197998,-178.38527755737306,4.760953191757202
19,train,154,46200,300.0,6,-9.032599449157715,30.771699905395508,-174.59417724609375,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.757933025360107
20,train,160,48000,300.0,6,-8.620796203613281,30.771699905395508,-174.61956787109375,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.758099313735962
21,train,166,49800,300.0,6,-8.488910675048828,30.771699905395508,-174.59304809570312,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.7568852272033695
22,train,172,51600,300.0,6,-8.381577491760254,30.771699905395508,-174.59580993652344,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.754659416198731
23,train,178,53400,300.0,6,-8.135229110717773,30.771699905395508,-174.6295623779297,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.7570512619018555
24,train,184,55200,300.0,6,-8.185147285461426,30.771699905395508,-174.57611083984375,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.754265506744384
25,train,190,57000,300.0,6,-7.877837181091309,30.771699905395508,-174.71665954589844,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.754014991760254
