iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,mean_obj_2,best_obj_2,loss
0,initial,6,130,21.666666666666668,2,11.214553833007812,14.568830490112305,14.26584529876709,18.40666961669922,-1.6463416814804077,0.32495343685150146,
1,train,8,184,23.0,2,11.652687072753906,16.469989776611328,14.631937980651855,20.500614166259766,-1.3465425968170166,0.32495343685150146,3.848128600915273
2,train,10,233,23.3,3,10.98412036895752,16.469989776611328,14.922218322753906,20.500614166259766,-1.198885202407837,0.6701352000236511,3.748496417204539
3,train,12,290,24.166666666666668,4,10.391486167907715,16.469989776611328,15.698867797851562,20.500614166259766,-1.2308974266052246,1.171461582183838,3.702925439675649
4,train,14,329,23.5,4,10.450164794921875,16.469989776611328,15.262557983398438,20.500614166259766,-1.3685559034347534,1.171461582183838,3.7001110434532167
