target_id,distance_to_command,target_obj_0,target_obj_1,mean_obj_0,std_obj_0,mean_obj_1,std_obj_1
0,27.5076904296875,16.727582931518555,-21.176528930664062,-0.9171112775802612,0.0,-0.07350015640258789,0.0
1,28.846811294555664,18.029197692871094,-23.154306411743164,0.7196866273880005,0.0,-0.07792383432388306,0.0
2,25.29794692993164,14.788931846618652,-20.301300048828125,-0.41056567430496216,0.0,-0.07850562781095505,0.0
3,21.455455780029297,10.748260498046875,-18.30479621887207,-0.5536835789680481,0.0,-0.06739820539951324,0.0
4,29.160259246826172,18.307344436645508,-22.293724060058594,-0.5787773728370667,0.0,-0.07582274824380875,0.0
5,21.182405471801758,10.833338737487793,-17.892330169677734,-0.6135175228118896,0.0,-0.06920583546161652,0.0
6,27.078380584716797,18.021291732788086,-20.592771530151367,0.35336577892303467,0.0,-0.07246441394090652,0.0
7,19.706405639648438,9.545855522155762,-17.260360717773438,-0.09232314676046371,0.0,-0.07176192849874496,0.0
8,22.212318420410156,12.354507446289062,-18.437742233276367,-0.13569578528404236,0.0,-0.06978476792573929,0.0
9,35.10851287841797,21.2458438873291,-27.663803100585938,-0.4739985466003418,0.0,-0.08018200099468231,0.0
10,30.8743839263916,19.721458435058594,-23.63798713684082,-0.2244930863380432,0.0,-0.0713469609618187,0.0
11,25.406497955322266,16.233121871948242,-20.015621185302734,0.49556171894073486,0.0,-0.07021269202232361,0.0
12,190.42752075195312,29.335960388183594,-188.31369018554688,0.07884658128023148,0.0,-0.1471167802810669,0.0
13,28.27901268005371,17.442869186401367,-20.550397872924805,-2.068746328353882,0.0,-0.0809231847524643,0.0
14,25.10382080078125,14.561532974243164,-19.609281539916992,-1.2034506797790527,0.0,-0.07298081368207932,0.0
