iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,8,1600,200.0,2,-8.243518829345703,8.68277645111084,-152.79644775390625,-146.86526489257812,3.072518301339084,-5.212445616722107,-149.24365844726563,
1,train,11,2200,200.0,2,-9.575068473815918,8.68277645111084,-153.14724731445312,-146.86526489257812,3.072518301339084,-5.212445616722107,-149.24365844726563,3.888142302632332
2,train,14,2800,200.0,2,-8.707511901855469,8.68277645111084,-153.78431701660156,-146.86526489257812,3.072518301339084,-5.212445616722107,-149.24365844726563,3.8731955885887146
3,train,17,3400,200.0,3,-5.053045749664307,24.510339736938477,-154.4940185546875,-146.86526489257812,216.86165376234976,-6.003823781013489,-162.85184173583986,3.8659800231456756
4,train,20,4000,200.0,4,-5.112007141113281,24.510339736938477,-154.37625122070312,-146.86526489257812,231.49189157378396,-6.003823781013489,-162.85184173583986,3.8626655668020247
5,train,23,4600,200.0,4,-5.614987373352051,24.510339736938477,-154.52163696289062,-146.86526489257812,231.49189157378396,-6.003823781013489,-162.85184173583986,3.859327697753906
