generation,evaluations,nondominated_count,mean_episode_length,mean_sum_return,best_sum_return,normalized_hv_mc,spacing,mean_obj_0,mean_obj_1,mean_obj_2,best_obj_0,best_obj_1,best_obj_2
0,72,2,22.208333333333332,42.879655837462956,210.82928414898925,1.06345220625,0.0,17.225952222218943,16.12473354749899,9.528970067745023,109.51749420166016,45.77168324589729,75.64378552394919
1,144,1,46.93055555555556,105.02810598541853,1223.5507731735706,1.1576250000000001,0.0,47.10324820581203,28.328185144242727,29.596672635363777,502.0171022117138,289.18742847442627,432.3462424874306
2,216,1,56.19444444444444,133.36265202298011,1223.5507731735706,1.1576250000000001,0.0,63.23282862496045,31.773637423447024,38.35618597457263,502.0171022117138,289.18742847442627,432.3462424874306
3,288,1,90.55555555555556,219.5910317223008,1223.5507731735706,1.1576250000000001,0.0,116.87153676276405,38.276423657076926,64.44307130245983,502.0171022117138,289.18742847442627,432.3462424874306
4,360,1,96.90277777777777,241.28281667585705,1223.5507731735706,1.1576250000000001,0.0,132.08690711897282,37.406906848925345,71.7890027079589,502.0171022117138,289.18742847442627,432.3462424874306
5,432,1,116.02777777777777,284.96638347073326,1223.5507731735706,1.1576250000000001,0.0,151.76298087876705,44.9466429013345,88.25675969063175,502.0171022117138,289.18742847442627,432.3462424874306
6,504,2,141.36111111111111,340.94995434687655,1223.5507731735706,1.1539784812500002,0.0,183.06234338196614,45.328623638591836,112.55898732631856,502.0171022117138,289.18742847442627,452.8821663558483
7,576,2,150.01388888888889,360.6830422620268,1223.5507731735706,1.1541521250000002,0.0,192.37420852709977,47.928003753431966,120.38082998149508,502.0171022117138,289.18742847442627,452.8821663558483
8,648,2,164.47222222222223,386.59208268521536,1223.5507731735706,1.1535848887500002,0.0,211.58446850938103,44.36420699291759,130.64340718291675,502.0171022117138,289.18742847442627,452.8821663558483
9,720,3,184.40277777777777,434.559187366362,1223.5507731735706,1.1405963362500002,0.022578787394630356,236.02636452950537,50.366151574585174,148.16667126227145,526.621662825346,289.18742847442627,452.8821663558483
10,792,4,213.04166666666666,499.3323269099088,1223.5507731735706,1.1363131237500002,0.06604270154812217,268.41008793345344,56.07364454782672,174.84859442862864,530.2532571852207,289.18742847442627,452.8821663558483
11,864,5,249.56944444444446,575.8894115926491,1223.5507731735706,1.1376443925000002,0.25745651727661595,306.6051507851937,66.85991167442666,202.42434913302876,530.2532571852207,289.18742847442627,452.8821663558483
12,936,5,261.80555555555554,602.9586964245472,1223.5507731735706,1.132759215,0.27239160374853977,320.2664871421746,68.68808255592982,214.00412672644273,530.2532571852207,289.18742847442627,452.8821663558483
13,1008,5,280.02777777777777,647.1490634615766,1223.5507731735706,1.1379685275000002,0.27029656279912745,333.7684446777114,81.51544049133857,231.86517829252665,535.6457577943802,289.18742847442627,455.7944263368845
14,1080,6,301.65277777777777,693.0381929149153,1223.5507731735706,1.13781803625,0.05179037860460776,359.4055593341796,97.69423026322491,235.93840331751076,535.6457577943802,289.18742847442627,455.7944263368845
15,1152,6,302.93055555555554,692.0471229512995,1223.5507731735706,1.1377022737500002,0.051413185461118595,363.02934018657027,91.84298007604148,237.17480268868772,535.6457577943802,289.18742847442627,455.7944263368845
16,1224,6,364.81944444444446,834.6405120146098,1223.5507731735706,1.1382926625,0.051408945547571666,406.98462913671716,145.45118526038198,282.20469761751076,535.6457577943802,289.18742847442627,455.7944263368845
17,1296,7,403.69444444444446,922.1266080871638,1223.5507731735706,1.1363478525000001,0.07022649746577758,432.82438076049505,175.15252906415196,314.14969826251684,535.6457577943802,289.18742847442627,455.7944263368845
18,1368,7,422.22222222222223,962.7138674394745,1223.5507731735706,1.13249296125,0.07010282213811384,443.49358133950994,195.73241257501974,323.4878735249448,535.6457577943802,289.18742847442627,455.7944263368845
19,1440,9,445.2916666666667,1024.9259421520142,1223.5507731735706,1.13415994125,0.06322646950579011,460.70602859235885,220.92714274923006,343.2927708104253,535.6457577943802,289.6499191522598,455.7944263368845
20,1512,8,456.0416666666667,1048.8694617819663,1236.9813027977943,1.134055755,0.05579461958565325,470.12784703137976,228.1598056861096,350.58180906447683,535.6457577943802,289.6499191522598,461.1365536749363
21,1584,11,477.02777777777777,1094.017036623425,1248.9830101132393,1.05342717375,0.08114430694616927,485.3318399647251,249.01660250375667,359.6685941549432,535.6457577943802,289.6499191522598,496.02225637435913
22,1656,12,481.59722222222223,1101.4898528909414,1248.9830101132393,1.0497575025,0.08216172158543349,489.79534641006546,251.29227259589567,360.40223388498026,535.6457577943802,289.6499191522598,496.02225637435913
23,1728,13,482.375,1105.6098892988327,1248.9830101132393,1.0500816375000002,0.08507844758007366,491.6363892399499,252.38142833858728,361.5920717202955,535.6457577943802,289.6499191522598,496.02225637435913
24,1800,11,484.15277777777777,1127.7276496733539,1263.722291380167,1.05992145,0.07391373824562036,494.463263075747,255.50834229091802,377.75604430668886,535.6457577943802,289.6499191522598,496.02225637435913
25,1872,14,490.09722222222223,1133.9453102538052,1263.722291380167,1.0618662600000002,0.08565488640884891,499.46666837188724,260.701196372509,373.7774455094089,535.6457577943802,289.88378006219864,496.02225637435913
26,1944,14,491.80555555555554,1141.6235792230711,1263.722291380167,1.0627692075000001,0.08565488640884891,501.5706185244748,262.77708264191943,377.27587805667685,535.6457577943802,289.88378006219864,496.02225637435913
27,2016,14,491.80555555555554,1143.9825711109054,1263.722291380167,1.0609633125000002,0.08565488640884891,501.8172982096569,262.9446872911519,379.22058561009663,535.6457577943802,289.88378006219864,496.02225637435913
28,2088,16,491.80555555555554,1143.2629901857322,1263.722291380167,1.06542016875,0.08211932733907752,504.6744693262606,262.1845907535818,376.40393010588986,535.6457577943802,289.88378006219864,496.02225637435913
29,2160,17,492.7638888888889,1131.3216810904753,1263.722291380167,1.0127250787500002,0.0981220421879084,507.2017018364018,263.3126964627041,360.8072827913695,535.6457577943802,289.88378006219864,496.02225637435913
30,2232,19,492.7638888888889,1128.463821222333,1263.722291380167,1.0104908625000002,0.09632397241411922,508.8174450670162,263.375242277152,356.27113387816485,535.6457577943802,289.88378006219864,496.02225637435913
