individual,eval_episodes,mean_episode_length,mean_obj_0,mean_obj_1,mean_obj_2,mean_sum_return,is_nondominated,seed,run_dir,global_is_nondominated
10,6,500.0,537.9555315872034,90.12476148207982,436.2800753513972,1064.3603684206803,True,1,nsga_iii/results/report_hopper_seed_1,False
11,6,500.0,514.6525673468908,280.7470209201177,418.7651356657346,1214.164723932743,True,1,nsga_iii/results/report_hopper_seed_1,False
12,6,500.0,521.1343754728636,273.71831089258194,352.04351927836734,1146.896205643813,True,1,nsga_iii/results/report_hopper_seed_1,False
13,6,500.0,498.0739279886087,289.5831096569697,400.73935559391975,1188.396393239498,False,1,nsga_iii/results/report_hopper_seed_1,False
14,6,500.0,530.7574745416641,157.36522280176482,415.2753104368846,1103.3980077803135,True,1,nsga_iii/results/report_hopper_seed_1,True
15,6,500.0,514.8696740865707,281.24902775883675,378.1398186882337,1174.258520533641,True,1,nsga_iii/results/report_hopper_seed_1,True
16,6,500.0,520.1939501861731,273.7115218639374,401.28966874877614,1195.1951407988863,True,1,nsga_iii/results/report_hopper_seed_1,True
17,6,500.0,525.0918308099111,232.25116157531735,460.413177182277,1217.7561695675056,True,1,nsga_iii/results/report_hopper_seed_1,True
18,6,500.0,520.9848517477512,273.3389530777931,402.4484673142433,1196.7722721397877,True,1,nsga_iii/results/report_hopper_seed_1,True
19,6,500.0,507.18529544274014,287.378011872371,422.9507504800956,1217.5140577952068,True,1,nsga_iii/results/report_hopper_seed_1,True
20,6,500.0,507.2094316283862,287.6976789633433,382.19585807124776,1177.1029686629772,True,1,nsga_iii/results/report_hopper_seed_1,True
21,6,500.0,502.5984679063161,289.5933017730713,418.9222317039967,1211.114001383384,True,1,nsga_iii/results/report_hopper_seed_1,True
22,6,500.0,534.7282516956329,123.35141475001971,425.6249135732651,1083.7045800189176,True,1,nsga_iii/results/report_hopper_seed_1,True
23,6,476.0,502.8537062605222,252.5398668150107,248.4096415440241,1003.803214619557,False,1,nsga_iii/results/report_hopper_seed_1,False
24,6,500.0,515.931149482727,280.13936603069305,266.23367738723755,1062.3041929006577,True,1,nsga_iii/results/report_hopper_seed_1,False
25,6,464.0,488.5305136740208,265.16912851730984,377.16271337866783,1130.8623555699985,False,1,nsga_iii/results/report_hopper_seed_1,False
26,6,500.0,504.9767333070437,296.0960932771365,349.1806937555472,1150.2535203397274,True,1,nsga_iii/results/report_hopper_seed_1,True
27,6,500.0,518.8999115626017,275.80779098471004,242.52456067005792,1037.2322632173698,True,1,nsga_iii/results/report_hopper_seed_1,False
28,6,500.0,509.45602479577065,289.3908551235993,342.4693167905013,1141.3161967098713,True,1,nsga_iii/results/report_hopper_seed_1,True
29,6,500.0,510.7373042901357,282.51975679397583,415.6732721229394,1208.9303332070508,True,1,nsga_iii/results/report_hopper_seed_1,True
30,6,500.0,511.2234857877096,287.336409052213,358.6586329440276,1157.21852778395,True,1,nsga_iii/results/report_hopper_seed_1,True
31,6,500.0,506.6661558250586,294.9546197156112,325.32208916544914,1126.942864706119,True,1,nsga_iii/results/report_hopper_seed_1,True
32,6,500.0,506.9700889587402,288.7921765546004,371.3921267390251,1167.1543922523658,True,1,nsga_iii/results/report_hopper_seed_1,True
33,6,500.0,515.7427911063036,279.4605435828368,402.8301891684532,1198.0335238575935,True,1,nsga_iii/results/report_hopper_seed_1,False
34,6,500.0,507.1468473672867,287.0731429358323,373.43399586280185,1167.6539861659207,False,1,nsga_iii/results/report_hopper_seed_1,False
35,6,500.0,504.1461048424244,288.76444602012634,403.4579404989879,1196.3684913615386,True,1,nsga_iii/results/report_hopper_seed_1,True
