return_obj_0,return_obj_1,return_obj_2
60.301216,84.83439,-77.96796
71.01159,62.526066,-73.90825
70.68223,90.26623,-103.56433
23.567686,72.35743,-59.671585
74.49412,67.76012,-82.21729
1.9705745,8.903668,-9.357626
11.769373,15.516145,-23.448357
21.064915,-1.9796933,-13.544118
77.136116,55.44989,-81.418724
52.332706,82.937035,-57.328495
60.362312,83.16631,-83.573296
55.387844,45.7781,-61.04244
49.85145,53.408085,-36.63433
82.475464,71.24394,-77.90848
