target_id,target_return,target_horizon,eval_episodes,mean_episode_length,target_obj_0,target_obj_1,target_obj_2,mean_obj_0,mean_obj_1,mean_obj_2,std_obj_0,std_obj_1,std_obj_2
0,"[1.9705744981765747, 8.903668403625488, -9.357625961303711]",11,2,150.0,1.9705744981765747,8.903668403625488,-9.357625961303711,146.12271031737328,146.66768261790276,-65.80741651796279,1.9386197626590729,0.3547884523868561,3.2992896211849256
1,"[21.06491470336914, -1.9796932935714722, -13.54411792755127]",21,2,150.0,21.06491470336914,-1.9796932935714722,-13.54411792755127,146.07712690834887,149.31702068448067,-53.578996927411936,2.071433436824009,0.9335228502750397,8.237058116712433
2,"[52.332706451416016, 82.9370346069336, -57.328495025634766]",121,2,150.0,52.332706451416016,82.9370346069336,-57.328495025634766,144.92304456513375,151.29093722254038,-69.58077453360602,7.089425382204354,0.40173546224832535,5.3346772823279025
3,"[60.30121612548828, 84.83438873291016, -77.96795654296875]",150,2,150.0,60.30121612548828,84.83438873291016,-77.96795654296875,142.15618762280792,150.0048056319356,-101.09474410449911,1.040246575139463,1.7510058209300041,0.029646808121469803
4,"[70.6822280883789, 90.26622772216797, -103.5643310546875]",150,2,150.0,70.6822280883789,90.26622772216797,-103.5643310546875,146.63380333781242,154.74321028590202,-104.7196996910643,6.471519201993942,3.463457614183426,4.464502724746126
5,"[82.4754638671875, 71.24394226074219, -77.90847778320312]",150,2,150.0,82.4754638671875,71.24394226074219,-77.90847778320312,158.9364377707243,152.36805503815413,-84.99594252022507,3.335615262389183,3.862093932926655,8.551116121452651
