iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,mean_obj_2,best_obj_2,loss
0,initial,6,683,113.83333333333333,6,50.3379020690918,74.4941177368164,64.4413070678711,90.26622772216797,-67.78117370605469,-9.357625961303711,
1,train,8,729,91.125,8,41.85771179199219,74.4941177368164,50.023048400878906,90.26622772216797,-55.459938049316406,-9.357625961303711,3.8711674451828
2,train,10,1000,100.0,9,46.43305206298828,77.13611602783203,53.85712814331055,90.26622772216797,-58.24266815185547,-9.357625961303711,3.8291892329851787
3,train,12,1221,101.75,11,48.34005355834961,77.13611602783203,55.62630844116211,90.26622772216797,-60.58686828613281,-9.357625961303711,3.774855311711629
4,train,14,1421,101.5,11,50.886253356933594,82.4754638671875,56.58340835571289,90.26622772216797,-60.11322784423828,-9.357625961303711,3.7455024758974713
