generation,evaluations,nondominated_count,mean_episode_length,mean_sum_return,best_sum_return,normalized_hv_mc,spacing,mean_obj_0,mean_obj_1,mean_obj_2,best_obj_0,best_obj_1,best_obj_2
0,72,2,25.38888888888889,50.547744465345104,255.16743182390928,1.06102119375,0.0,20.390308977415163,18.326928691084806,11.830506796845132,122.94390938431025,61.77784478664398,78.70951618254185
1,144,3,33.763888888888886,72.84595900567041,255.16743182390928,0.6873977250000001,0.039811241342122425,29.474847568043817,26.47441905711053,16.896692380516065,122.94390938431025,102.14186283946037,78.70951618254185
2,216,4,47.40277777777778,111.14077490793231,324.2139734327793,0.6492655575000001,0.07221713719699917,50.5190499097678,34.8054264918901,25.816298506274407,142.7379378825426,169.08663097023964,78.70951618254185
3,288,4,56.513888888888886,135.29287134405845,324.2139734327793,0.7075056712500001,0.24812888855171006,67.38948923815042,37.961544988469946,29.9418371174381,166.66449549794197,169.08663097023964,78.70951618254185
4,360,6,65.54166666666667,160.85909632096687,324.2139734327793,0.6441720075,0.09453235747647662,83.26448233565316,41.77734846228527,35.81726552302845,168.19940558075905,169.08663097023964,95.48169743642211
5,432,6,67.75,170.91327854490373,324.2139734327793,0.626182515,0.08132092763039907,93.7064800832757,42.52317926939577,34.68361919223227,168.19940558075905,169.08663097023964,95.48169743642211
6,504,1,83.25,205.00818972497817,834.7729943543673,1.1576250000000001,0.0,109.23022332944028,52.99409992102947,42.783866474508415,376.24327114224434,217.25395140051842,241.2757718116045
7,576,1,102.19444444444444,242.894044044544,989.3645940423012,1.1576250000000001,0.0,133.01288981680085,56.93601964289943,52.9451345848437,475.2304035127163,270.3129556775093,243.82123485207558
8,648,1,107.18055555555556,253.54708829471687,989.3645940423012,1.1576250000000001,0.0,138.92707984507757,57.44182621232338,57.17818223731592,475.2304035127163,270.3129556775093,243.82123485207558
9,720,2,142.55555555555554,323.6244660937882,1051.4908155798912,1.1485723725,0.0,169.09108039018852,77.70006685910954,76.83331884449015,475.2304035127163,270.3129556775093,320.4965751171112
10,792,2,147.63888888888889,336.1567070247717,1051.4908155798912,1.1488617787500002,0.0,178.3374503861285,76.51992029903664,81.29933633960657,475.2304035127163,270.3129556775093,320.4965751171112
