generation,evaluations,nondominated_count,mean_episode_length,mean_sum_return,best_sum_return,normalized_hv_mc,spacing,mean_obj_0,mean_obj_1,mean_obj_2,best_obj_0,best_obj_1,best_obj_2
11,864,3,173.48611111111111,388.19042518222784,1051.4908155798912,1.14768100125,0.04741473914434467,199.32163483152786,95.15271358398928,93.71607676671071,475.88236624002457,270.3129556775093,320.4965751171112
12,936,3,178.75,396.8427688642793,1051.4908155798912,1.1477967637500002,0.04741473914434467,205.51535270818405,93.93556348813905,97.3918526679562,475.88236624002457,270.3129556775093,320.4965751171112
13,1008,2,216.41666666666666,478.9941077256032,1121.6910366117954,1.1437335000000002,0.0,236.6226175930351,120.20603239950206,122.16545773306603,493.49002704024315,287.8069599568844,377.9962964951992
14,1080,3,240.54166666666666,534.2214384467936,1121.6910366117954,1.1469285450000002,0.007184098488404694,256.8397031683061,136.14238351790442,141.2393517605831,493.49002704024315,287.8069599568844,377.9962964951992
15,1152,4,261.7638888888889,574.6233713998226,1121.6910366117954,1.1433514837500003,0.04744423595416733,273.4540409853475,146.9010188224622,154.26831159201296,497.48168897628784,290.2764373123646,377.9962964951992
16,1224,4,300.59722222222223,652.2909483084093,1121.6910366117954,1.1436987712500002,0.04744423595416733,300.8323931947816,173.96939625425472,177.48915885937296,497.48168897628784,290.2764373123646,377.9962964951992
17,1296,5,367.3333333333333,778.6203490204126,1139.909365080297,1.1366835637500001,0.04919746507647176,356.1627756109099,210.62848999351263,211.82908341599008,522.7280640378594,290.2764373123646,377.9962964951992
18,1368,7,467.2083333333333,990.5627239623313,1161.8912861943245,1.1240770275,0.09081786765982865,453.348941755895,257.98992454012233,279.2238576663141,522.7280640378594,290.2764373123646,385.6794046089053
19,1440,8,480.7083333333333,1029.0431790639025,1161.8912861943245,1.1039806575,0.1009596542843606,466.8674796708963,265.0587739066945,297.11692548631174,522.7280640378594,290.2764373123646,385.6794046089053
20,1512,10,496.9166666666667,1080.6841628478012,1161.8912861943245,1.0116253350000002,0.17745341366709055,488.24549895535324,277.15919905155897,315.279464840889,522.7280640378594,290.2764373123646,385.6794046089053
21,1584,14,498.15277777777777,1103.3290555848637,1166.7061018943787,1.0333192275,0.13834414357148034,494.12075438215913,280.75670225835506,328.4515989443494,522.7280640378594,290.53052166104317,385.6794046089053
22,1656,11,497.8611111111111,1116.2122988966812,1552.7387449145317,0.3995426925000001,0.2640234871197384,498.6560038594115,295.2959966038664,322.2602984334032,535.0691816210747,787.7652209699154,417.01169642806053
23,1728,15,498.15277777777777,1122.9720412367542,1552.7387449145317,0.43118058375000007,0.20266750058591765,500.5511271998079,292.39928377668065,330.0216302602655,535.0691816210747,787.7652209699154,433.14132809638977
24,1800,22,497.68055555555554,1127.616773525201,1552.7387449145317,0.42878430000000006,0.15970428415929253,507.13239577355694,285.41817576107053,335.06620199057375,535.3639473319054,787.7652209699154,481.34545597434044
25,1872,26,499.9166666666667,1130.8960930750602,1552.7387449145317,0.40810911750000006,0.15684252329391093,510.0525903954274,289.75669907033443,331.08680360929833,535.3639473319054,787.7652209699154,481.34545597434044
26,1944,29,499.9166666666667,1145.1685906191253,1552.7387449145317,0.41110736625000005,0.15423383476570154,512.3387017351472,282.32716561853886,350.5027232654393,535.3639473319054,787.7652209699154,481.34545597434044
27,2016,33,500.0,1157.6045248011749,1552.7387449145317,0.44030266875000007,0.13716377715832628,510.6772715763913,281.5197899970743,365.4074632277091,538.6909433603287,787.7652209699154,485.45928835868835
28,2088,29,491.8888888888889,1148.669959054225,1552.7387449145317,0.6945171187500001,0.1264462150941004,503.2265020675129,282.272264401118,363.1711925855941,538.6909433603287,787.7652209699154,485.45928835868835
29,2160,30,491.8888888888889,1146.0507288881474,1552.7387449145317,0.6904422787500001,0.124854689502728,503.53922808915377,282.3970972208513,360.11440357814234,538.6909433603287,787.7652209699154,485.45928835868835
30,2232,36,500.0,1175.5648274653488,1552.7387449145317,0.35842385250000003,0.13072537369055712,514.9943398502138,273.99928363660973,386.57120397852526,538.6909433603287,787.7652209699154,485.45928835868835
