weight,weight_name,global_step,update,episode,episode_length,scalarized_return,return_obj_0,return_obj_1
"[0.0, 1.0]",w_0p00_1p00,1000,1,0,1000,-3120.9435252547264,-101.17619605071377,-3120.9435252547264
"[0.0, 1.0]",w_0p00_1p00,2000,1,1,1000,-3063.0332321822643,-136.4865185848903,-3063.0332321822643
"[0.0, 1.0]",w_0p00_1p00,3000,2,2,1000,-3008.3282940387726,-135.41289005524595,-3008.3282940387726
"[0.0, 1.0]",w_0p00_1p00,4000,2,3,1000,-3050.4965731799603,-4.685877517389599,-3050.4965731799603
"[0.0, 1.0]",w_0p00_1p00,5000,3,4,1000,-3006.5550603866577,-231.32066267344635,-3006.5550603866577
"[0.0, 1.0]",w_0p00_1p00,6000,3,5,1000,-3023.8088204562664,1.002532291895477,-3023.8088204562664
"[0.0, 1.0]",w_0p00_1p00,7000,4,6,1000,-2987.009972587228,-70.51025284244679,-2987.009972587228
"[0.0, 1.0]",w_0p00_1p00,8000,4,7,1000,-2997.4246014356613,132.90036011273332,-2997.4246014356613
"[0.0, 1.0]",w_0p00_1p00,9000,5,8,1000,-2978.4536667764187,-32.20771764713572,-2978.4536667764187
"[0.0, 1.0]",w_0p00_1p00,10000,5,9,1000,-2992.9385492503643,60.63880684704054,-2992.9385492503643
"[0.0, 1.0]",w_0p00_1p00,11000,6,10,1000,-2919.473176293075,-101.02458364376798,-2919.473176293075
"[0.0, 1.0]",w_0p00_1p00,12000,6,11,1000,-2925.9798333346844,-92.25688871962484,-2925.9798333346844
"[0.0, 1.0]",w_0p00_1p00,13000,7,12,1000,-2900.0584623515606,34.40053635631921,-2900.0584623515606
"[0.0, 1.0]",w_0p00_1p00,14000,7,13,1000,-2886.5801943540573,-134.6000171796186,-2886.5801943540573
"[0.0, 1.0]",w_0p00_1p00,15000,8,14,1000,-2921.614211663604,-70.96955551882274,-2921.614211663604
"[0.0, 1.0]",w_0p00_1p00,16000,8,15,1000,-2867.7277229875326,89.07043153763516,-2867.7277229875326
"[0.0, 1.0]",w_0p00_1p00,17000,9,16,1000,-2769.6199644804,74.29035491537797,-2769.6199644804
"[0.0, 1.0]",w_0p00_1p00,18000,9,17,1000,-2810.7417959570885,1.1061148575972766,-2810.7417959570885
"[0.0, 1.0]",w_0p00_1p00,19000,10,18,1000,-2779.3057474792004,-91.41176434769295,-2779.3057474792004
"[0.0, 1.0]",w_0p00_1p00,20000,10,19,1000,-2741.860388457775,-22.45581785752438,-2741.860388457775
"[0.0, 1.0]",w_0p00_1p00,21000,11,20,1000,-2735.5199099183083,-78.89696752122836,-2735.5199099183083
"[0.0, 1.0]",w_0p00_1p00,22000,11,21,1000,-2676.1830120682716,-54.00017875726917,-2676.1830120682716
"[0.0, 1.0]",w_0p00_1p00,23000,12,22,1000,-2639.1559736579657,-39.92901405971497,-2639.1559736579657
"[0.0, 1.0]",w_0p00_1p00,24000,12,23,1000,-2628.204644292593,-91.42437010485446,-2628.204644292593
