iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,6,105,17.5,3,9.157108306884766,14.547770500183105,11.762984275817871,16.458831787109375,10.877849003828487,8.569283533096314,11.72527117729187,
1,train,8,162,20.25,1,12.613733291625977,39.789920806884766,12.975460052490234,20.413143157958984,0.0024999999999998934,39.73992080688477,20.363143157958984,3.834207630157471
2,train,10,196,19.6,1,11.761849403381348,39.789920806884766,12.82866382598877,20.413143157958984,0.0024999999999998934,39.73992080688477,20.363143157958984,3.7206564505894977
3,train,12,226,18.833333333333332,1,10.899227142333984,39.789920806884766,12.392967224121094,20.413143157958984,0.0024999999999998934,39.73992080688477,20.363143157958984,3.6347163200378416
4,train,14,263,18.785714285714285,1,11.233366012573242,39.789920806884766,12.279410362243652,20.413143157958984,0.0024999999999998934,39.73992080688477,20.363143157958984,3.6399649222691854
