target_id,target_return,target_horizon,eval_episodes,mean_episode_length,target_obj_0,target_obj_1,mean_obj_0,mean_obj_1,std_obj_0,std_obj_1
0,"[-2.334143877029419, -5.392180919647217]",13,2,36.5,-2.334143877029419,-5.392180919647217,25.533486157655716,-3.345008134841919,0.2277001440525055,0.5001914501190186
1,"[2.4229445457458496, -6.119816303253174]",16,2,37.0,2.4229445457458496,-6.119816303253174,26.15135458111763,-3.9231741428375244,0.1014682948589325,0.0
2,"[2.4435954093933105, -9.473554611206055]",14,2,37.0,2.4435954093933105,-9.473554611206055,25.863920897245407,-3.3839954137802124,0.06704786419868469,0.0
3,"[3.5000500679016113, -11.281785011291504]",23,2,27.5,3.5000500679016113,-11.281785011291504,4.868505567312241,-1.4354344606399536,2.2391619980335236,0.0
4,"[7.433090686798096, -18.416296005249023]",22,2,26.0,7.433090686798096,-18.416296005249023,7.9823479652404785,-1.4354344606399536,0.39922720193862915,0.0
