target_id,distance_to_command,target_obj_0,target_obj_1,mean_obj_0,std_obj_0,mean_obj_1,std_obj_1
0,20.851577758789062,9.17999267578125,-18.184850692749023,-1.202275276184082,0.0,-0.10179749876260757,0.0
1,27.198198318481445,16.426301956176758,-21.20992660522461,-0.744024932384491,0.0,-0.11675515025854111,0.0
2,25.165971755981445,14.853012084960938,-20.675912857055664,0.3443111181259155,0.0,-0.11323489248752594,0.0
3,194.4825439453125,29.80782127380371,-192.52442932128906,0.5836225748062134,0.0,-0.25013723969459534,0.0
4,25.267906188964844,13.433525085449219,-20.454605102539062,-1.5574567317962646,0.0,-0.11406546831130981,0.0
5,23.433914184570312,12.890023231506348,-19.144655227661133,-0.7893774509429932,0.0,-0.11776929348707199,0.0
6,24.52678108215332,13.1502046585083,-19.945703506469727,-1.2775847911834717,0.0,-0.11134318262338638,0.0
7,197.68231201171875,33.461456298828125,-194.94447326660156,-0.8194029331207275,0.0,-0.2572368383407593,0.0
8,24.783374786376953,14.815730094909668,-20.52739143371582,0.758374810218811,0.0,-0.11645059287548065,0.0
9,20.264080047607422,9.521631240844727,-18.341032028198242,0.6720234751701355,0.0,-0.11145750433206558,0.0
10,30.75569725036621,17.333171844482422,-24.97642707824707,-0.772482693195343,0.0,-0.11484485864639282,0.0
11,25.25326919555664,15.198897361755371,-21.112688064575195,1.1683086156845093,0.0,-0.11577989906072617,0.0
12,28.315261840820312,17.328285217285156,-22.192928314208984,-0.40345466136932373,0.0,-0.11716197431087494,0.0
13,18.949058532714844,6.138858795166016,-17.691097259521484,-0.910334050655365,0.0,-0.10201844573020935,0.0
14,34.87439727783203,22.173704147338867,-26.344619750976562,-0.8147469758987427,0.0,-0.11954224854707718,0.0
