Método,Soluciones evaluadas,Soluciones no dominadas,Mejor objetivo 0,Mejor objetivo 1,HV normalizado
PCN local,4,3,2.224300739629127,-73.1588583946228,0.3704595503283997
PCN MORL-Baselines,15,4,1.1683086156845093,-0.1017974987626075,0.8092634325792243
