iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,6,900,150.0,3,3.2968292236328125,16.56867027282715,-134.8961944580078,-128.39723205566406,27.819859703712837,2.2020070910453797,-135.80282745361328,
1,train,8,1200,150.0,3,-1.048663854598999,16.56867027282715,-135.94393920898438,-128.39723205566406,27.819859703712837,2.2020070910453797,-135.80282745361328,3.881171969572703
2,train,10,1500,150.0,3,-3.69047212600708,16.56867027282715,-135.49624633789062,-128.39723205566406,27.819859703712837,2.2020070910453797,-135.80282745361328,3.865853170553843
3,train,12,1800,150.0,4,-5.5811004638671875,16.56867027282715,-135.10324096679688,-124.47160339355469,286.47439823509836,-30.299614048004152,-135.99910888671874,3.8601001103719077
4,train,14,2100,150.0,5,-4.200354099273682,16.56867027282715,-134.96493530273438,-124.47160339355469,322.60550130776306,-30.299614048004152,-135.99910888671874,3.848792139689128
