return_obj_0,return_obj_1
-18.685705,-180.9806
-0.719003,-188.51877
-14.114354,-188.46216
6.93859,-177.94415
-46.173645,-177.31209
-25.51142,-184.69496
-23.861853,-182.16078
-13.865506,-184.99292
22.277996,-178.40793
-6.0091324,-179.0218
7.4958844,-168.30585
0.8397926,-173.37782
-12.228357,-183.56076
11.448715,-174.27931
6.7981544,-188.70331
23.478128,-173.54684
-7.4114003,-184.44147
-14.847566,-192.41994
-4.764251,-187.18446
-34.95782,-192.20262
-5.1351576,-177.0484
-33.05892,-182.70668
25.585098,-183.35176
14.431417,-185.16016
-8.711152,-175.90215
-12.695372,-172.87813
7.645911,-188.82913
-34.460083,-185.70969
6.1552587,-179.82593
-9.61265,-181.31848
-11.233435,-180.90732
-45.383038,-191.3497
-10.848766,-191.73753
20.537975,-181.36386
6.6562433,-174.4289
-20.333527,-184.35352
-13.895373,-183.85959
41.932682,-188.16353
-13.370177,-184.34169
-8.068596,-173.51288
-24.522728,-190.20125
4.17897,-190.50523
16.151072,-173.56891
16.809132,-188.98534
-0.32458362,-176.55229
6.7595615,-183.08539
-32.18433,-169.6195
-4.922104,-182.4738
-3.800504,-180.49445
2.2198787,-183.9651
-27.59247,-181.76694
-28.550432,-174.71895
-29.052467,-176.56908
-8.806893,-187.24406
-20.712181,-176.52151
-10.920126,-187.48033
-22.341854,-173.57898
21.393723,-180.74707
-20.066462,-177.44919
-18.11646,-177.67343
-12.514957,-183.9169
-27.976465,-183.25592
18.44373,-185.0367
-6.9195604,-181.01398
9.086194,-182.62132
-38.889153,-180.02565
8.623784,-177.52629
-8.613135,-188.08955
-27.323713,-174.39731
12.231296,-180.53342
-8.147945,-185.65276
-6.707509,-186.75006
-8.33237,-187.43338
14.550913,-175.76454
-5.056918,-173.26343
-25.19515,-180.19487
-0.87208396,-168.2513
-6.04052,-176.88237
2.0903044,-169.17708
4.7600427,-180.47868
17.828989,-182.82909
-17.640333,-172.19502
0.53168696,-188.64185
-3.4348202,-175.54333
16.104305,-175.49486
-5.0117245,-182.41608
8.8367195,-180.49437
-7.7997828,-184.96315
-3.6581206,-174.84708
-9.234861,-173.99907
-16.03719,-169.78882
-10.1564665,-181.27841
-1.9153476,-176.70663
