iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,6,203,33.833333333333336,1,138.20120239257812,159.1189727783203,125.39266204833984,145.89036560058594,0.0025000000000011367,159.0689727783203,145.84036560058593,
1,train,8,270,33.75,1,138.89846801757812,159.1189727783203,125.61471557617188,145.89036560058594,0.0025000000000011367,159.0689727783203,145.84036560058593,3.8374102195103963
2,train,10,340,34.0,1,140.06170654296875,159.1189727783203,126.76945495605469,145.89036560058594,0.0025000000000011367,159.0689727783203,145.84036560058593,3.737904647986094
3,train,12,403,33.583333333333336,1,138.2631378173828,159.1189727783203,125.39443969726562,145.89036560058594,0.0025000000000011367,159.0689727783203,145.84036560058593,3.6539480725924176
4,train,14,473,33.785714285714285,1,139.13665771484375,179.37522888183594,125.41160583496094,151.5473175048828,0.0025000000000011367,179.32522888183593,151.4973175048828,3.5596902410189313
