Método,n_solutions,n_nondominated,normalized_hv_mc,spacing_normalized,best_objectives
NSGA-III,36,19,1.08609535125,0.11638754636179163,"[575.2519841194153, 289.9275953074296, 496.3848139345646]"
PGMORL,8,8,0.0011692012500000002,0.005308089196961439,"[22.511383056640625, 22.99054336547852, -19.572494506835938]"
