target_id,target_return,target_horizon,eval_episodes,mean_episode_length,target_obj_0,target_obj_1,mean_obj_0,mean_obj_1,std_obj_0,std_obj_1
0,"[-12.881145477294922, 31.62575912475586]",150,2,150.0,-12.881145477294922,31.62575912475586,-54.07264646142721,-54.26421358878724,1.280752070248127,0.1091261983383447
1,"[-12.592901229858398, 19.38180923461914]",33,2,150.0,-12.592901229858398,19.38180923461914,-52.577199396910146,-65.00102034024894,5.773952307878062,3.7536719124764204
2,"[-8.694122314453125, -0.3355982303619385]",150,2,150.0,-8.694122314453125,-0.3355982303619385,-55.0068252235651,-66.49003337323666,1.7614895105361938,5.089171066880226
3,"[12.142058372497559, -4.112209320068359]",34,2,150.0,12.142058372497559,-4.112209320068359,-57.67221127380617,-49.584180544596165,1.6170127030927688,17.044910652097315
4,"[17.09986114501953, -15.992644309997559]",107,2,150.0,17.09986114501953,-15.992644309997559,-40.973125567892566,-63.84832134004682,2.9012773248832673,1.122026245109737
5,"[17.70978355407715, -21.340173721313477]",150,2,150.0,17.70978355407715,-21.340173721313477,-28.309268787968904,-44.882789418741595,8.472921398933977,15.115282406390179
