iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
0,initial,6,787,131.16666666666666,2,0.06666556745767593,11.138839721679688,-15.813786506652832,-4.99412727355957,3.8968430584625646,-25.478934955596923,-6.1387851476669315,
1,train,8,970,121.25,3,-3.1342568397521973,11.138839721679688,-5.484394550323486,31.62575912475586,100.18439182499652,-14.082144737243652,-7.969779467582702,3.8825411160786945
2,train,10,1218,121.8,4,-3.0626752376556396,17.09986114501953,-7.994497776031494,31.62575912475586,391.6731600904469,-14.380195808410644,-18.37356448173523,3.8584242701530456
3,train,12,1518,126.5,5,-1.0617483854293823,17.70978355407715,-9.303162574768066,31.62575912475586,571.7419907495779,-14.410691928863525,-23.988470363616944,3.8393434445063273
4,train,14,1702,121.57142857142857,6,-0.6637888550758362,17.70978355407715,-8.291840553283691,31.62575912475586,645.185450666067,-14.410691928863525,-23.988470363616944,3.8253420988718667
