Método,Soluciones evaluadas,Soluciones no dominadas,Mejor objetivo 0,Mejor objetivo 1,HV normalizado
PCN local,1,1,234.72089996933937,214.40171913057569,1.1025
PCN MORL-Baselines,6,1,132.35365295410156,69.04021453857422,0.07821943569278729
