target_id,distance_to_command,target_obj_0,target_obj_1,mean_obj_0,std_obj_0,mean_obj_1,std_obj_1
0,23.633258819580078,12.206844329833984,-20.43096160888672,0.23866474628448486,0.0,-0.05220774561166763,0.0
1,23.082502365112305,11.908953666687012,-20.13998794555664,0.5363988280296326,0.0,-0.05350024253129959,0.0
2,25.74558448791504,15.278887748718262,-21.463151931762695,0.9769944548606873,0.0,-0.05542006716132164,0.0
3,24.501243591308594,14.236613273620605,-20.600994110107422,0.882919192314148,0.0,-0.05860493704676628,0.0
4,36.9954719543457,22.174997329711914,-29.326807022094727,-0.4576587677001953,0.0,-0.062019094824790955,0.0
5,25.453655242919922,15.23465633392334,-20.798673629760742,0.48287665843963623,0.0,-0.055637069046497345,0.0
6,18.892982482910156,8.170181274414062,-17.68132209777832,1.3602302074432373,0.0,-0.058343306183815,0.0
7,32.582435607910156,17.10032844543457,-27.190902709960938,-0.9305675029754639,0.0,-0.052331943064928055,0.0
8,26.165552139282227,15.538463592529297,-21.45318031311035,0.4728514552116394,0.0,-0.06011040881276131,0.0
9,187.4583282470703,26.396411895751953,-185.65335083007812,-0.3499200940132141,0.0,-0.11290086060762405,0.0
10,30.367521286010742,16.414642333984375,-24.942169189453125,-0.9911923408508301,0.0,-0.057971931993961334,0.0
11,23.932065963745117,12.4960298538208,-19.671785354614258,-1.2223058938980103,0.0,-0.06181367114186287,0.0
12,27.659107208251953,16.207637786865234,-21.93216896057129,-0.7176961302757263,0.0,-0.05617022514343262,0.0
13,186.1861114501953,25.895648956298828,-184.65219116210938,1.0624828338623047,0.0,-0.1296219825744629,0.0
14,21.527671813964844,10.537240982055664,-17.905132293701172,-1.5053725242614746,0.0,-0.060915905982255936,0.0
